job,alpha,nG,nE,n,replicate,nComb,nPosEigen,time_eigen,Frobenius_eigen,CMD_eigen,nPC_eigen,pPC_eigen,time_tensorEVD,Frobenius_tensorEVD,CMD_tensorEVD,nPC_tensorEVD,pPC_tensorEVD
26,0.9,500,50,30000,1,17459,17455,5152.946,307.479630080177,0.00173533688669103,2717,0.155657404755084,2.85000000000036,284.096196163274,0.00120465954545557,3240,0.185620166141507
27,0.9,1000,50,30000,1,22474,22474,4723.52,286.067963410324,0.00179049720727986,3864,0.17193201032304,6.70799999999963,255.887598866339,0.0011364660765919,5095,0.226706416303284
28,0.95,100,10,10000,1,1000,1000,254.634,84.3292273242437,0.00152346171593354,525,0.525,0.187999999999988,83.3200191374399,0.00135904508939422,541,0.541
29,0.95,500,10,10000,1,4303,4303,168.434,97.9558220866493,0.00273596376633345,1682,0.390890076690681,0.563999999999993,91.0259506209249,0.0019443552749574,2025,0.470601905647223
30,0.95,1000,10,10000,1,6358,6358,174.634,80.3680283686233,0.00158645985155692,2451,0.385498584460522,1.08000000000001,73.8090858543587,0.00109682268249278,3343,0.525794274929223
31,0.95,100,30,10000,1,2882,2882,168.905,61.5300894135633,0.00126058274050667,1178,0.408743927827897,0.338999999999999,58.4137676897878,0.000916612300707942,1291,0.44795281054823
32,0.95,500,30,10000,1,7250,7250,175.628,74.8179392994975,0.00164681075047146,2742,0.378206896551724,1.22399999999999,62.6745574911467,0.000833135845414001,4207,0.580275862068966
33,0.95,1000,30,10000,1,8527,8527,188.788,58.2851106353593,0.00116441059018813,3745,0.439193151166882,2.96099999999998,47.340954205398,0.00053453309565088,6974,0.817872639849889
34,0.95,100,50,10000,1,4341,4341,170.377,59.2718696971715,0.00126072635408381,1424,0.328035014973508,0.448000000000008,56.1497012074606,0.00096260958172123,1621,0.373416263533748
35,0.95,500,50,10000,1,8274,8274,184.822,58.6483873884089,0.00105756437216264,3400,0.410925791636452,1.53,46.265184294191,0.000406923084985689,5906,0.713802272177907
36,0.95,1000,50,10000,1,9059,9059,179.705,59.2719368483127,0.000997290258064831,4013,0.442984876917982,3.52700000000002,43.8270651233526,0.000367328937335598,8901,0.982558781322442
37,0.95,100,10,20000,1,1000,1000,1380.825,202.374324913485,0.00266514493966419,536,0.536,0.379999999999882,203.513253421472,0.00265446805320668,545,0.545
38,0.95,500,10,20000,1,4897,4897,1397.904,155.737868435853,0.00144158428639196,1961,0.400449254645701,1.01600000000008,150.887028238393,0.00110223530119413,2146,0.438227486216051
39,0.95,1000,10,20000,1,8601,8601,1415.993,168.914709107039,0.00160199819639317,2703,0.314265783048483,2.39200000000005,160.308763793238,0.00113237392715193,3172,0.368794326241135
40,0.95,100,30,20000,1,2998,2998,1331.308,132.138824606645,0.00119047432871744,1214,0.404936624416278,0.574000000000069,127.765663618538,0.00096357400544389,1270,0.423615743829219
41,0.95,500,30,20000,1,11041,11041,1425.364,142.563741542662,0.00108744794755677,3381,0.306222262476225,3.00500000000011,131.545874276304,0.000687565002276735,4220,0.382211756181505
42,0.95,1000,30,20000,1,14614,14614,1424.586,128.528227012471,0.00153388626201778,4837,0.330983987956754,4.05600000000004,107.824894311176,0.000791826177929278,7090,0.485151224852881
43,0.95,100,50,20000,1,4904,4904,1368.767,110.163996385804,0.000901974555426399,1582,0.322593800978793,0.929000000000087,106.709308972419,0.000731321368268478,1689,0.344412724306688
44,0.95,500,50,20000,1,13726,13726,1421.178,99.0846492313144,0.000688475364836738,4414,0.321579484190587,4.01600000000008,86.1076057967896,0.000334122343807475,5960,0.434212443537811
45,0.95,1000,50,20000,1,16516,16516,1441.764,113.54852040811,0.000807591147931386,5502,0.333131508839913,6.15800000000013,93.4081377834585,0.000364327764497685,8785,0.531908452409784
46,0.95,100,10,30000,1,1000,1000,4773.984,315.449770204684,0.00284307814404849,542,0.542,0.369000000000597,316.120952823805,0.00279585906186874,548,0.548
47,0.95,500,10,30000,1,4980,4980,5023.851,269.906795710434,0.00146854470182001,1852,0.371887550200803,1.94900000000052,266.346876437065,0.00123138031482883,1955,0.392570281124498
48,0.95,1000,10,30000,1,9489,9489,8469.944,353.868458400586,0.00209633351304717,2420,0.255032142480767,2.42699999999968,349.95288336587,0.00186747145087296,2666,0.280956897460217
49,0.95,100,30,30000,1,3000,3000,4796.195,218.476651218328,0.0012554751521241,1118,0.372666666666667,0.876999999999498,215.869138629124,0.00115551682642112,1147,0.382333333333333
50,0.95,500,30,30000,1,13046,13046,5031.217,170.180236055012,0.000780627068921791,3763,0.288440901425724,3.29699999999957,161.698130452817,0.000537787499675257,4318,0.330982676682508
51,0.95,1000,30,30000,1,18909,18909,4775.962,177.14199207751,0.000857291268617555,5379,0.284467713787086,8.23599999999988,161.431114890248,0.000519774856767241,6917,0.365804643291554
52,0.95,100,50,30000,1,4981,4981,4830.51,162.783828195173,0.000720771785996277,1622,0.325637422204377,1.13199999999961,159.38920544372,0.000608950647761675,1692,0.339690825135515
53,0.95,500,50,30000,1,17416,17416,5420.291,159.91875500621,0.000614202339947467,4664,0.267799724391364,4.67699999999968,147.427565013126,0.000369132979089915,5734,0.32923748277446
54,0.95,1000,50,30000,1,22643,22643,5637.22,153.494368709455,0.000705745504551159,6597,0.291348319568962,13.25,133.468215204071,0.000370634235565603,9208,0.406659894890253
55,0.98,100,10,10000,1,1000,1000,254.154,42.5729399993161,0.00045620183514683,681,0.681,0.237000000000023,40.9112724305884,0.000375567016701717,699,0.699
56,0.98,500,10,10000,1,4332,4332,162.972,36.6121123031104,0.000482369085151757,2462,0.568328716528163,0.563999999999993,32.6561355352223,0.000272162766119854,2892,0.667590027700831
57,0.98,1000,10,10000,1,6366,6366,171.98,42.133791072325,0.000714090695363878,3447,0.541470311027333,1.19,36.1987240109257,0.000405953912139045,4768,0.748978950675463
58,0.98,100,30,10000,1,2891,2891,166.129,30.909852962246,0.000300005225147282,1540,0.532687651331719,0.413999999999987,28.8848050923893,0.000190388099199912,1679,0.580767900380491
59,0.98,500,30,10000,1,7324,7313,187.316,27.7671402811835,0.000375830536708643,4364,0.596745521673732,2.072,22.3535103028627,0.000158949868588776,6963,0.952140024613702
60,0.98,1000,30,10000,1,8483,8483,186.115,31.2361684149058,0.000463614596772244,5208,0.613933749852646,3.24700000000001,23.2533752473344,0.000157643489294035,11428,1.34716491807144
61,0.98,100,50,10000,1,4340,4340,167.741,29.7337028964273,0.000341938424567201,2135,0.491935483870968,0.466000000000008,27.1763410805064,0.000210657866037467,2452,0.564976958525346
